taxid	kingdom	phylum	class	order	family	genus	species	species_epithet	species_short	scientificName	currentName	identifiedBy	recordedBy	recordNumber	year	country	department	locality details	source	notes
5357	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Lentinus	Lentinus scleropus	scleropus	L. scleropus	Pleurotus hirtus	Lentinus scleropus		"Willson, P."	643	1903	Honduras			Mycoportal	
5357	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Lentinus	Lentinus arcularius	arcularius	L. arcularius	Hexagonia hondurensis	Lentinus arcularius		"Willson, P."	640	1903	Honduras			Mycoportal	
5357	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Lentinus	Lentinus berteroi	berteroi	L. berteroi	Lentinus bertieri	Lentinus berteroi		"Willson, P."		1903	Honduras			Mycoportal	
5357	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Lentinus	Lentinus berteroi	berteroi	L. berteroi	Lentinus bertieri	Lentinus berteroi		"Willson, P."		1903	Honduras			Mycoportal	
5357	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Lentinus	Lentinus concavus	concavus	L. concavus	Lentinus concavus	Lentinus concavus		"Willson, P."		1903	Honduras			Mycoportal	
5357	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Lentinus	Lentinus velutinus	velutinus	L. velutinus	Lentinus velutinus	Lentinus velutinus		"Willson, P."		1903	Honduras			Mycoportal	
38807	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Panaceae	Panus	Panus strigellus	strigellus	P. strigellus	Lentinus strigosus	Panus strigellus		"Willson, P."		1903	Honduras			Mycoportal	
40443	Fungi	Basidiomycota	Agaricomycetes	Gloeophyllales	Gloeophyllaceae	Gloeophyllum	Gloeophyllum striatum	striatum	G. striatum	Gloeophyllum striatum	Gloeophyllum striatum		"Willson, P."		1903	Honduras			Mycoportal	
40473	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Phylloporia	Phylloporia chrysites	chrysites	P. chrysites	Polyporus wilsonii	Phylloporia chrysites		"Willson, P."	438	1903	Honduras			Mycoportal	
90311	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Cerrenaceae	Cerrena	Cerrena hydnoides	hydnoides	C. hydnoides	Hexagonia hydnoides	Cerrena hydnoides		"Willson, P."	139	1903	Honduras			Mycoportal	
93827	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Gymnopus	Gymnopus montagnei	montagnei	G. montagnei	Caripia montagnei	Gymnopus montagnei		"Willson, P."		1903	Honduras			Mycoportal	
196301	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Pseudofavolus	Pseudofavolus tenuis	tenuis	P. tenuis	Hexagonia tenuis	Pseudofavolus tenuis		"Willson, P."	4	1903	Honduras			Mycoportal	
40473	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Phylloporia	Phylloporia chrysites	chrysites	P. chrysites	Inonotus wilsonii	Phylloporia chrysites		"Willson, P."	438	1903	Honduras	Valle	Puerto Sierra	Mycoportal	
241720	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Nothopanus	Nothopanus eugrammus	eugrammus	N. eugrammus	Nothopanus eugrammus	Nothopanus eugrammus		"Willson, P."	705	1903	Honduras	Valle	Puerto Sierra	Mycoportal	
196301	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Pseudofavolus	Pseudofavolus tenuis	tenuis	P. tenuis	Hexagonia tenuis	Pseudofavolus tenuis		"Willson, P."		1903	Honduras	Valle	"Rio Esperanza, Puerto Sierra"	Mycoportal	
