taxid	kingdom	phylum	class	order	family	genus	species	species_epithet	species_short	scientificName	currentName	identifiedBy	recordedBy	recordNumber	year	country	department	locality details	source	notes
42305	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Hypocrella	Hypocrella brasiliana	brasiliana	H. brasiliana	Hypocrella brasiliana	Hypocrella brasiliana	"Mains, E. B."	"Standley, P. C."		1927	Honduras	Atlántida		Mycoportal	
42308	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Hypoxylon	Hypoxylon placentiforme	placentiforme	H. placentiforme	Hypoxylon placentiforme	Hypoxylon placentiforme	"Diehl, W. W."	"Standley, P. C."	54432	1927	Honduras	Atlántida		Mycoportal	
42308	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Hypoxylon	Hypoxylon sclerophaeum	sclerophaeum	H. sclerophaeum	Hypoxylon sclerophaeum	Hypoxylon sclerophaeum	"Diehl, W. W.; Miller, J. H."	"Standley, P. C."	54432	1927	Honduras	Atlántida		Mycoportal	
42360	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Daldinia	Daldinia concentrica	concentrica	D. concentrica	Daldinia concentrica	Daldinia concentrica	"Shear, C. L.; Diehl, W. W."	"Standley, P. C."	52949	1927	Honduras	Atlántida		Mycoportal	
42360	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Daldinia	Daldinia concentrica	concentrica	D. concentrica	Daldinia concentrica	Daldinia concentrica	"Shear, C. L.; Diehl, W. W."	"Standley, P. C."	53673	1927	Honduras	Atlántida		Mycoportal	
42360	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Daldinia	Daldinia concentrica	concentrica	D. concentrica	Daldinia concentrica	Daldinia concentrica		"Standley, P. C."	55524	1927	Honduras	Atlántida		Mycoportal	
47191	Fungi	Ascomycota	Pezizomycetes	Pezizales	Sarcoscyphaceae	Cookeina	Cookeina sulcipes	sulcipes	C. sulcipes	Cookeina sulcipes	Cookeina sulcipes	"Cash, E. K."	"Standley, P. C."	53278	1927	Honduras	Atlántida		Mycoportal	
47191	Fungi	Ascomycota	Pezizomycetes	Pezizales	Sarcoscyphaceae	Cookeina	Cookeina sulcipes	sulcipes	C. sulcipes	Cookeina sulcipes	Cookeina sulcipes	"Cash, E. K."	"Standley, P. C."	53674	1927	Honduras	Atlántida		Mycoportal	
47191	Fungi	Ascomycota	Pezizomycetes	Pezizales	Sarcoscyphaceae	Cookeina	Cookeina tricholoma	tricholoma	C. tricholoma	Cookeina tricholoma	Cookeina tricholoma	"Cash, E. K."	"Standley, P. C."	54655	1927	Honduras	Atlántida		Mycoportal	
47191	Fungi	Ascomycota	Pezizomycetes	Pezizales	Sarcoscyphaceae	Cookeina	Cookeina tricholoma	tricholoma	C. tricholoma	Cookeina tricholoma	Cookeina tricholoma		"Standley, P. C."	54447	1927	Honduras	Atlántida		Mycoportal	
54961	Fungi	Ascomycota	Sordariomycetes	Phyllachorales	Phyllachoraceae	Phyllachora	Phyllachora sp.	sp.	Phyllachora sp.	Phyllachora	Phyllachora sp.		"Standley, P. C."	54536	1927	Honduras	Atlántida		Mycoportal	
62129	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Capnodiaceae	Antennariella	Antennariella sp.	sp.	Antennariella sp.	Antennariella	Antennariella sp.	"Chaves, B. A."	"Standley, P. C."	5670	1927	Honduras	Atlántida		Mycoportal	
62636	Fungi	Basidiomycota	Exobasidiomycetes	Entylomatales	Entylomataceae	Entyloma	Entyloma australe	australe	E. australe	Entyloma australe	Entyloma australe		"Standley, P. C."	54086	1927	Honduras	Atlántida		Mycoportal	
65356	Chromista	Oomycota	Oomycota class incertae sedis	Albuginales	Albuginaceae	Albugo	Albugo ipomoeae-panduratae	ipomoeae-panduratae	A. ipomoeae-panduratae	Albugo ipomoeae-panduratae	Albugo ipomoeae-panduratae		"Standley, P. C."	53469	1927	Honduras	Atlántida		Mycoportal	
65356	Chromista	Oomycota	Oomycota class incertae sedis	Albuginales	Albuginaceae	Albugo	Albugo ipomoeae-panduratae	ipomoeae-panduratae	A. ipomoeae-panduratae	Albugo ipomoeae-panduratae	Albugo ipomoeae-panduratae		"Standley, P. C."		1927	Honduras	Atlántida		Mycoportal	
66277	Fungi	Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola sp.	sp.	Meliola sp.	Meliola	Meliola sp.		"Standley, P. C."	55273	1927	Honduras	Atlántida		Mycoportal	
66277	Fungi	Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola sp.	sp.	Meliola sp.	Meliola	Meliola sp.		"Standley, P. C."	55497	1927	Honduras	Atlántida		Mycoportal	
66277	Fungi	Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola sp.	sp.	Meliola sp.	Meliola	Meliola sp.		"Standley, P. C."	56569	1927	Honduras	Atlántida		Mycoportal	
66277	Fungi	Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola sp.	sp.	Meliola sp.	Meliola	Meliola sp.		"Standley, P. C."	PCS956	1927	Honduras	Atlántida		Mycoportal	
66277	Fungi	Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola sp.	sp.	Meliola sp.	Meliola	Meliola sp.		"Standley, P. C."	PCS957	1927	Honduras	Atlántida		Mycoportal	
66277	Fungi	Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola sp.	sp.	Meliola sp.	Meliola	Meliola sp.		"Standley, P. C."	PCS958	1927	Honduras	Atlántida		Mycoportal	
66277	Fungi	Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola sp.	sp.	Meliola sp.	Meliola	Meliola sp.		"Standley, P. C."	PCS959	1927	Honduras	Atlántida		Mycoportal	
66277	Fungi	Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola amphigena	amphigena	M. amphigena	Meliola amphigena	Meliola amphigena	"Hansford, C. G."	"Standley, P. C."	53852	1927	Honduras	Atlántida		Mycoportal	
66277	Fungi	Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola amphigena	amphigena	M. amphigena	Meliola amphigena	Meliola amphigena		"Standley, P. C."	55273	1927	Honduras	Atlántida		Mycoportal	
66277	Fungi	Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola amphigena	amphigena	M. amphigena	Meliola amphigena	Meliola amphigena		"Standley, P. C."	55497	1927	Honduras	Atlántida		Mycoportal	
66277	Fungi	Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola amphigena	amphigena	M. amphigena	Meliola amphigena	Meliola amphigena		"Standley, P. C."	55678	1927	Honduras	Atlántida		Mycoportal	
66277	Fungi	Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola bicornis	bicornis	M. bicornis	Meliola bicornis	Meliola bicornis		"Standley, P. C."	53686	1927	Honduras	Atlántida		Mycoportal	
66277	Fungi	Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola bicornis	bicornis	M. bicornis	Meliola bicornis	Meliola bicornis		"Standley, P. C."	54398	1927	Honduras	Atlántida		Mycoportal	
66277	Fungi	Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola bicornis	bicornis	M. bicornis	Meliola bicornis	Meliola bicornis		"Standley, P. C."	54552	1927	Honduras	Atlántida		Mycoportal	
66277	Fungi	Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola bicornis	bicornis	M. bicornis	Meliola bicornis	Meliola bicornis	"Stevenson, J. A."	"Standley, P. C."	55274	1927	Honduras	Atlántida		Mycoportal	
66277	Fungi	Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola bicornis	bicornis	M. bicornis	Meliola bicornis	Meliola bicornis		"Standley, P. C."	55275	1927	Honduras	Atlántida		Mycoportal	
66277	Fungi	Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola bicornis	bicornis	M. bicornis	Meliola bicornis	Meliola bicornis		"Standley, P. C."	PCS932	1927	Honduras	Atlántida		Mycoportal	
66277	Fungi	Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola bignoniacearum	bignoniacearum	M. bignoniacearum	Meliola bignoniacearum	Meliola bignoniacearum		"Standley, P. C."	55573	1927	Honduras	Atlántida		Mycoportal	
66277	Fungi	Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola connari	connari	M. connari	Meliola connari	Meliola connari	"Stevenson, J. A."	"Standley, P. C."	56801	1927	Honduras	Atlántida		Mycoportal	
66277	Fungi	Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola hispida	hispida	M. hispida	Meliola hispida	Meliola hispida		"Standley, P. C."	55790	1927	Honduras	Atlántida		Mycoportal	
66277	Fungi	Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola hispida	hispida	M. hispida	Meliola hispida	Meliola hispida		"Standley, P. C."	PCS936	1927	Honduras	Atlántida		Mycoportal	
66277	Fungi	Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola longistipitata	longistipitata	M. longistipitata	Meliola longistipitata	Meliola longistipitata		"Standley, P. C."	55498	1927	Honduras	Atlántida		Mycoportal	
66277	Fungi	Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola marantacearum	marantacearum	M. marantacearum	Meliola marantacearum	Meliola marantacearum		"Standley, P. C."	PCS939	1927	Honduras	Atlántida		Mycoportal	
66277	Fungi	Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola marantae	marantae	M. marantae	Meliola marantae	Meliola marantae		"Standley, P. C."	53233	1927	Honduras	Atlántida		Mycoportal	
66277	Fungi	Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola merrillii	merrillii	M. merrillii	Meliola merrillii	Meliola merrillii		"Standley, P. C."	52793	1927	Honduras	Atlántida		Mycoportal	
66277	Fungi	Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola merrillii	merrillii	M. merrillii	Meliola merrillii	Meliola merrillii	"Stevenson, J. A."	"Standley, P. C."	55209	1927	Honduras	Atlántida		Mycoportal	
66277	Fungi	Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola merrillii	merrillii	M. merrillii	Meliola merrillii	Meliola merrillii		"Standley, P. C."	PCS940	1927	Honduras	Atlántida		Mycoportal	
66277	Fungi	Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola panici	panici	M. panici	Meliola panici	Meliola panici		"Standley, P. C."	55269	1927	Honduras	Atlántida		Mycoportal	
66277	Fungi	Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola paulliniae	paulliniae	M. paulliniae	Meliola paulliniae	Meliola paulliniae		"Standley, P. C."	53679	1927	Honduras	Atlántida		Mycoportal	
66277	Fungi	Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola paulliniae	paulliniae	M. paulliniae	Meliola paulliniae	Meliola paulliniae		"Standley, P. C."	53681	1927	Honduras	Atlántida		Mycoportal	
66277	Fungi	Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola paulliniae	paulliniae	M. paulliniae	Meliola paulliniae	Meliola paulliniae		"Standley, P. C."	55193	1927	Honduras	Atlántida		Mycoportal	
66277	Fungi	Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola paulliniae	paulliniae	M. paulliniae	Meliola paulliniae	Meliola paulliniae		"Standley, P. C."	55265	1927	Honduras	Atlántida		Mycoportal	
66277	Fungi	Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola paulliniae	paulliniae	M. paulliniae	Meliola paulliniae	Meliola paulliniae		"Standley, P. C."	PCS943	1927	Honduras	Atlántida		Mycoportal	
66277	Fungi	Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola pazschkeana	pazschkeana	M. pazschkeana	Meliola pazschkeana	Meliola pazschkeana		"Standley, P. C."	54062	1927	Honduras	Atlántida		Mycoportal	
66277	Fungi	Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola psidi	psidi	M. psidi	Meliola psidi	Meliola psidi		"Standley, P. C."	52794	1927	Honduras	Atlántida		Mycoportal	
66277	Fungi	Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola psidi	psidi	M. psidi	Meliola psidii	Meliola psidi		"Standley, P. C."	PCS944	1927	Honduras	Atlántida		Mycoportal	
66277	Fungi	Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola psychotriae	psychotriae	M. psychotriae	Meliola psychotriae	Meliola psychotriae		"Standley, P. C."	54554	1927	Honduras	Atlántida		Mycoportal	
66277	Fungi	Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola rizalensis	rizalensis	M. rizalensis	Meliola rizalensis	Meliola rizalensis		"Standley, P. C."	53326	1927	Honduras	Atlántida		Mycoportal	
66277	Fungi	Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola strychnicola	strychnicola	M. strychnicola	Meliola strychnicola	Meliola strychnicola		"Standley, P. C."	55174	1927	Honduras	Atlántida		Mycoportal	
66277	Fungi	Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola strychnicola	strychnicola	M. strychnicola	Meliola strychnicola	Meliola strychnicola		"Standley, P. C."	PCS953	1927	Honduras	Atlántida		Mycoportal	
66277	Fungi	Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola weigeltii	weigeltii	M. weigeltii	Meliola weigeltii	Meliola weigeltii		"Standley, P. C."	55561	1927	Honduras	Atlántida		Mycoportal	
66277	Fungi	Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola weigeltii	weigeltii	M. weigeltii	Meliola weigeltii	Meliola weigeltii		"Standley, P. C."	PCS955	1927	Honduras	Atlántida		Mycoportal	
66277	Fungi	Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola zetekii	zetekii	M. zetekii	Meliola zetekii	Meliola zetekii		"Standley, P. C."	53665	1927	Honduras	Atlántida		Mycoportal	
66739	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Lasiodiplodia	Lasiodiplodia theobromae	theobromae	L. theobromae	Diplodia theobromae	Lasiodiplodia theobromae	"Weir, J. R."	"Dean, H. S."		1927	Honduras	Atlántida		Mycoportal	
68764	Fungi	Basidiomycota	Agaricomycetes	Geastrales	Geastraceae	Geastrum	Geastrum sp.	sp.	Geastrum sp.	Geastrum	Geastrum sp.		"Standley, P. C."	53158	1927	Honduras	Atlántida		Mycoportal	
68776	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Nidulariaceae	Cyathus	Cyathus pallidus	pallidus	C. pallidus	Cyathus pallidus	Cyathus pallidus	"Stevenson, J. A."	"Standley, P. C."	54026	1927	Honduras	Atlántida		Mycoportal	
76125	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Coriolopsis	Coriolopsis byrsina	byrsina	C. byrsina	Coriolopsis byrsina	Coriolopsis byrsina	"Ryvarden, L."	"Standley, P. C."	56800	1927	Honduras	Atlántida		Mycoportal	
76125	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Coriolopsis	Coriolopsis occidentalis	occidentalis	C. occidentalis	Polyporus occidentalis	Coriolopsis occidentalis	"Stevenson, J. A."	"Standley, P. C."	52814	1927	Honduras	Atlántida		Mycoportal	
76125	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Coriolopsis	Coriolopsis occidentalis	occidentalis	C. occidentalis	Polyporus occidentalis	Coriolopsis occidentalis	"Stevenson, J. A."	"Standley, P. C."	52889	1927	Honduras	Atlántida		Mycoportal	
76125	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Coriolopsis	Coriolopsis occidentalis	occidentalis	C. occidentalis	Polyporus occidentalis	Coriolopsis occidentalis	"Stevenson, J. A."	"Standley, P. C."	53242	1927	Honduras	Atlántida		Mycoportal	
76125	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Coriolopsis	Coriolopsis occidentalis	occidentalis	C. occidentalis	Polyporus occidentalis	Coriolopsis occidentalis	"Stevenson, J. A."	"Standley, P. C."	53580	1927	Honduras	Atlántida		Mycoportal	
76125	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Coriolopsis	Coriolopsis occidentalis	occidentalis	C. occidentalis	Polyporus occidentalis	Coriolopsis occidentalis	"Stevenson, J. A."	"Standley, P. C."	53675	1927	Honduras	Atlántida		Mycoportal	
76125	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Coriolopsis	Coriolopsis occidentalis	occidentalis	C. occidentalis	Polyporus occidentalis	Coriolopsis occidentalis	"Stevenson, J. A."	"Standley, P. C."	54208	1927	Honduras	Atlántida		Mycoportal	
76125	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Coriolopsis	Coriolopsis occidentalis	occidentalis	C. occidentalis	Polyporus occidentalis	Coriolopsis occidentalis	"Stevenson, J. A."	"Standley, P. C."	54215	1927	Honduras	Atlántida		Mycoportal	
76125	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Coriolopsis	Coriolopsis occidentalis	occidentalis	C. occidentalis	Polyporus occidentalis	Coriolopsis occidentalis	"Stevenson, J. A."	"Standley, P. C."	54659	1927	Honduras	Atlántida		Mycoportal	
76125	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Coriolopsis	Coriolopsis occidentalis	occidentalis	C. occidentalis	Polyporus occidentalis	Coriolopsis occidentalis	"Stevenson, J. A."	"Standley, P. C."	54666	1927	Honduras	Atlántida		Mycoportal	
76125	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Coriolopsis	Coriolopsis occidentalis	occidentalis	C. occidentalis	Polyporus occidentalis	Coriolopsis occidentalis	"Stevenson, J. A."	"Standley, P. C."	55129	1927	Honduras	Atlántida		Mycoportal	
76125	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Coriolopsis	Coriolopsis occidentalis	occidentalis	C. occidentalis	Polyporus occidentalis	Coriolopsis occidentalis		"Standley, P. C."	55242	1927	Honduras	Atlántida		Mycoportal	
76125	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Coriolopsis	Coriolopsis occidentalis	occidentalis	C. occidentalis	Polyporus occidentalis	Coriolopsis occidentalis	"Stevenson, J. A."	"Standley, P. C."	55628	1927	Honduras	Atlántida		Mycoportal	
81053	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Meripilaceae	Rigidoporus	Rigidoporus microporus	microporus	R. microporus	Polyporus lignosus	Rigidoporus microporus	"Overholts, L. O."	"Standley, P. C."	53202	1927	Honduras	Atlántida		Mycoportal	
81053	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Meripilaceae	Rigidoporus	Rigidoporus microporus	microporus	R. microporus	Polyporus lignosus	Rigidoporus microporus	"Overholts, L. O."	"Standley, P. C."	54214	1927	Honduras	Atlántida		Mycoportal	
81053	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Meripilaceae	Rigidoporus	Rigidoporus microporus	microporus	R. microporus	Polyporus lignosus	Rigidoporus microporus	"Overholts, L. O."	"Standley, P. C."	55282	1927	Honduras	Atlántida		Mycoportal	
81065	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Irpicaceae	Gloeoporus	Gloeoporus thelephoroides	thelephoroides	G. thelephoroides	Polyporus conchoides	Gloeoporus thelephoroides	"Stevenson, J. A."	"Standley, P. C."	56896	1927	Honduras	Atlántida		Mycoportal	
86085	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Gymnopilus	Gymnopilus hispidus	hispidus	G. hispidus	Flammula hispida	Gymnopilus hispidus	"Charles, V. K."	"Standley, P. C."		1927	Honduras	Atlántida	"Lancetilla Valley Near Tela, 15.783333  -87.45 +-3036m"	Mycoportal	
86620	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Usnea	Usnea strigosa	strigosa	U. strigosa	Usnea strigosa	Usnea strigosa		"Standley, P. C."	55430	1927	Honduras	Atlántida		Mycoportal	
90311	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Cerrenaceae	Cerrena	Cerrena caperata	caperata	C. caperata	Polyporus caperatus	Cerrena caperata	"Stevenson, J. A."	"Standley, P. C."	53388	1927	Honduras	Atlántida		Mycoportal	
90311	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Cerrenaceae	Cerrena	Cerrena caperata	caperata	C. caperata	Polyporus caperatus	Cerrena caperata	"Stevenson, J. A."	"Standley, P. C."	54362	1927	Honduras	Atlántida		Mycoportal	
90311	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Cerrenaceae	Cerrena	Cerrena hydnoides	hydnoides	C. hydnoides	Trametes hydnoides	Cerrena hydnoides	"Stevenson, J. A."	"Standley, P. C."	54244	1927	Honduras	Atlántida		Mycoportal	
90311	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Cerrenaceae	Cerrena	Cerrena hydnoides	hydnoides	C. hydnoides	Trametes hydnoides	Cerrena hydnoides	"Stevenson, J. A."	"Standley, P. C."	54412	1927	Honduras	Atlántida		Mycoportal	
90311	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Cerrenaceae	Cerrena	Cerrena hydnoides	hydnoides	C. hydnoides	Trametes hydnoides	Cerrena hydnoides	"Stevenson, J. A."	"Standley, P. C."	55356	1927	Honduras	Atlántida		Mycoportal	
93827	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Gymnopus	Gymnopus montagnei	montagnei	G. montagnei	Hypolyssus montagnei	Gymnopus montagnei	"Stevenson, J. A."	"Standley, P. C."	53140	1927	Honduras	Atlántida		Mycoportal	
93827	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Gymnopus	Gymnopus montagnei	montagnei	G. montagnei	Hypolyssus montagnei	Gymnopus montagnei	"Stevenson, J. A."	"Standley, P. C."	54646	1927	Honduras	Atlántida		Mycoportal	
93827	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Gymnopus	Gymnopus montagnei	montagnei	G. montagnei	Hypolyssus montagnei	Gymnopus montagnei	"Stevenson, J. A."	"Standley, P. C.; Stevenson, J. A."	53303	1927	Honduras	Atlántida		Mycoportal	
109369	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Camillea	Camillea globosa	globosa	C. globosa	Camillea globosa	Camillea globosa	"Shear, C. L."	"Standley, P. C."	53208	1927	Honduras	Atlántida		Mycoportal	
109369	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Camillea	Camillea globosa	globosa	C. globosa	Camillea globosa	Camillea globosa	"Shear, C. L."	"Standley, P. C."	55239	1927	Honduras	Atlántida		Mycoportal	
109369	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Camillea	Camillea sagrana	sagrana	C. sagrana	Camillea sagraeana	Camillea sagrana	"Diehl, W. W."	"Standley, P. C."	55526	1927	Honduras	Atlántida	"Lancetilla Valley, near Tela, 15.735218 -87.46246, 20 - 600m"	Mycoportal	
109369	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Camillea	Camillea sagrana	sagrana	C. sagrana	Camillea sagraeana	Camillea sagrana	"Diehl, W. W."	"Standley, P. C."	55526	1927	Honduras	Atlántida	"Lancetilla Valley, near Tela, Atlantida Dept. alt. 20-600 meters, 15.783333 -87.45"	Mycoportal	
109369	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Camillea	Camillea globosa	globosa	C. globosa	Camillea globosa	Camillea globosa	"Shear, C. L."	"Standley, P. C."	53208	1927	Honduras	Atlántida		Mycoportal	
109369	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Camillea	Camillea globosa	globosa	C. globosa	Camillea globosa	Camillea globosa	"Shear, C. L.; Diehl, W. W."	"Standley, P. C."	55239	1927	Honduras	Atlántida		Mycoportal	
109377	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Ustulina	Ustulina vulgaris	vulgaris	U. vulgaris	Ustulina vulgaris	Ustulina vulgaris		"Standley, P. C."	PVS2633	1927	Honduras	Atlántida		Mycoportal	
109377	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Ustulina	Ustulina vulgaris	vulgaris	U. vulgaris	Ustulina vulgaris	Ustulina vulgaris	"Stevenson, J. A."	"Siggers, P. V."		1927	Honduras	Atlántida		Mycoportal	
109377	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Ustulina	Ustulina vulgaris	vulgaris	U. vulgaris	Ustulina vulgaris	Ustulina vulgaris	"Stevenson, J. A."	"Siggers, P. V."		1927	Honduras	Atlántida		Mycoportal	
131324	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Pseudocercospora	Pseudocercospora borreriae	borreriae	P. borreriae	Cercospora borreriae	Pseudocercospora borreriae		"Standley, P. C."	56863	1927	Honduras	Atlántida		Mycoportal	
159075	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Acremonium	Acremonium meliola	meliola	A. meliola	Acremonium meliola	Acremonium meliola		"Standley, P. C."	55266	1927	Honduras	Atlántida		Mycoportal	
159075	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Acremonium	Acremonium meliola	meliola	A. meliola	Acremonium meliola	Acremonium meliola		"Standley, P. C."	55272	1927	Honduras	Atlántida		Mycoportal	
159075	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Acremonium	Acremonium meliola	meliola	A. meliola	Acremonium meliola	Acremonium meliola		"Standley, P. C."	PCS3	1927	Honduras	Atlántida		Mycoportal	
168915	Fungi	Ascomycota	Lecanoromycetes	Peltigerales	Collemataceae	Leptogium	Leptogium azureum	azureum	L. azureum	Leptogium azureum	Leptogium azureum	Marie Lindstr??m	"Standley, P. C."		1927	Honduras	Atlántida		Mycoportal	
168915	Fungi	Ascomycota	Lecanoromycetes	Peltigerales	Collemataceae	Leptogium	Leptogium azureum	azureum	L. azureum	Leptogium azureum	Leptogium azureum	P.M. J??rgensen	"Standley, P. C."		1927	Honduras	Atlántida		Mycoportal	
175855	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Fuscoporia	Fuscoporia licnoides	licnoides	F. licnoides	Polyporus licnoides	Fuscoporia licnoides	"Stevenson, J. A."	"Standley, P. C."	53545	1927	Honduras	Atlántida		Mycoportal	
175855	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Fuscoporia	Fuscoporia licnoides	licnoides	F. licnoides	Polyporus licnoides	Fuscoporia licnoides	"Stevenson, J. A."	"Standley, P. C."	54856	1927	Honduras	Atlántida		Mycoportal	
175855	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Fuscoporia	Fuscoporia licnoides	licnoides	F. licnoides	Polyporus licnoides	Fuscoporia licnoides	"Stevenson, J. A."	"Standley, P. C."	55421	1927	Honduras	Atlántida		Mycoportal	
